,Unnamed: 0,Company,depart_time,flight_time,arrival_time,num_stops,stop_location,source,destination,days_remaining,price
117,117,IndiGo,16.916666666666668,4.416666666666667,21.33333333333333,1,Goa,Mumbai,Chennai,30,6363
118,118,IndiGo,14.0,7.333333333333333,21.33333333333333,1,Goa,Mumbai,Chennai,30,6363
119,119,IndiGo,12.416666666666666,9.333333333333334,21.75,1,Kannur,Mumbai,Chennai,30,6363
120,120,IndiGo,19.916666666666668,4.5,0.4166666666666667,1,Hyderabad,Mumbai,Chennai,30,6363
121,121,IndiGo,0.1666666666666666,7.916666666666667,8.083333333333334,1,Bengaluru,Mumbai,Chennai,30,6439
122,122,IndiGo,6.083333333333333,4.75,10.833333333333334,1,Bengaluru,Mumbai,Chennai,30,6439
123,123,IndiGo,7.583333333333333,4.583333333333333,12.166666666666666,1,Bengaluru,Mumbai,Chennai,30,6439
124,124,IndiGo,0.3333333333333333,1.8333333333333333,2.1666666666666665,0,None,Mumbai,Chennai,30,3981
125,125,IndiGo,5.583333333333333,1.9166666666666663,7.5,0,None,Mumbai,Chennai,30,3981
126,126,IndiGo,22.25,1.8333333333333333,0.0833333333333333,0,None,Mumbai,Chennai,30,3981
127,127,SpiceJet,5.666666666666667,2.1666666666666665,7.833333333333333,0,None,Mumbai,Chennai,30,4568
128,128,SpiceJet,19.58333333333333,1.9166666666666663,21.5,0,None,Mumbai,Chennai,30,4568
129,129,IndiGo,7.0,1.8333333333333333,8.833333333333334,0,None,Mumbai,Chennai,30,4893
130,130,IndiGo,9.25,2.0,11.25,0,None,Mumbai,Chennai,30,4893
131,131,IndiGo,10.25,2.0,12.25,0,None,Mumbai,Chennai,30,4893
132,132,IndiGo,15.5,1.9166666666666663,17.416666666666668,0,None,Mumbai,Chennai,30,4893
133,133,AirAsia,13.083333333333334,4.166666666666667,17.25,1,Bengaluru,Mumbai,Chennai,40,6048
134,134,IndiGo,7.25,4.166666666666667,11.416666666666666,1,Hyderabad,Mumbai,Chennai,40,6068
135,135,IndiGo,6.083333333333333,5.333333333333333,11.416666666666666,1,Hyderabad,Mumbai,Chennai,40,6068
136,136,IndiGo,9.0,6.166666666666667,15.166666666666666,1,Hyderabad,Mumbai,Chennai,40,6068
137,137,IndiGo,18.08333333333333,4.0,22.08333333333333,1,Hyderabad,Mumbai,Chennai,40,6068
138,138,IndiGo,17.5,4.583333333333333,22.08333333333333,1,Hyderabad,Mumbai,Chennai,40,6068
139,139,IndiGo,19.916666666666668,4.5,0.4166666666666667,1,Hyderabad,Mumbai,Chennai,40,6068
140,140,IndiGo,9.166666666666666,6.083333333333333,15.25,1,Coimbatore,Mumbai,Chennai,40,6237
141,141,IndiGo,11.166666666666666,4.0,15.166666666666666,1,Hyderabad,Mumbai,Chennai,40,6363
142,142,IndiGo,12.0,7.0,19.0,1,Madurai,Mumbai,Chennai,40,6363
143,143,IndiGo,16.083333333333332,4.166666666666667,20.25,1,Hyderabad,Mumbai,Chennai,40,6363
144,144,IndiGo,16.916666666666668,4.416666666666667,21.33333333333333,1,Goa,Mumbai,Chennai,40,6363
145,145,IndiGo,14.0,7.333333333333333,21.33333333333333,1,Goa,Mumbai,Chennai,40,6363
146,146,IndiGo,0.1666666666666666,8.916666666666666,9.083333333333334,1,Bengaluru,Mumbai,Chennai,40,6439
147,147,IndiGo,6.083333333333333,4.75,10.833333333333334,1,Bengaluru,Mumbai,Chennai,40,6439
148,148,IndiGo,7.583333333333333,4.583333333333333,12.166666666666666,1,Bengaluru,Mumbai,Chennai,40,6439
149,149,IndiGo,7.166666666666667,5.0,12.166666666666666,1,Bengaluru,Mumbai,Chennai,40,6439
150,150,IndiGo,11.833333333333334,4.083333333333333,15.916666666666666,1,Bengaluru,Mumbai,Chennai,40,6439
151,151,IndiGo,7.0,1.0833333333333333,8.083333333333334,0,None,Coimbatore,Chennai,0,3379
152,152,IndiGo,10.166666666666666,1.0833333333333333,11.25,0,None,Coimbatore,Chennai,0,3379
153,153,IndiGo,11.5,1.0833333333333333,12.583333333333334,0,None,Coimbatore,Chennai,0,3379
154,154,IndiGo,20.58333333333333,1.0833333333333333,21.666666666666668,0,None,Coimbatore,Chennai,0,3379
155,155,IndiGo,14.25,1.0,15.25,0,None,Coimbatore,Chennai,0,3694
156,156,IndiGo,17.75,1.0833333333333333,18.83333333333333,0,None,Coimbatore,Chennai,0,3694
157,157,Air India,15.083333333333334,1.0833333333333333,16.166666666666668,0,None,Coimbatore,Chennai,0,4639
158,158,Vistara,14.416666666666666,5.416666666666667,19.83333333333333,1,Mumbai,Coimbatore,Chennai,0,10939
159,159,Vistara,14.416666666666666,8.666666666666666,23.08333333333333,1,Mumbai,Coimbatore,Chennai,0,10939
160,160,Vistara,15.25,7.5,22.75,1,Delhi,Coimbatore,Chennai,0,16504
161,161,IndiGo,7.0,0.9166666666666666,7.916666666666667,0,None,Coimbatore,Chennai,10,3379
162,162,IndiGo,10.166666666666666,1.0833333333333333,11.25,0,None,Coimbatore,Chennai,10,3379
163,163,IndiGo,11.5,1.0833333333333333,12.583333333333334,0,None,Coimbatore,Chennai,10,3379
164,164,IndiGo,14.25,1.0,15.25,0,None,Coimbatore,Chennai,10,3379
165,165,IndiGo,16.166666666666668,1.0,17.166666666666668,0,None,Coimbatore,Chennai,10,3379
166,166,IndiGo,17.75,1.0833333333333333,18.83333333333333,0,None,Coimbatore,Chennai,10,3379
167,167,IndiGo,20.58333333333333,1.0833333333333333,21.666666666666668,0,None,Coimbatore,Chennai,10,3379
168,168,Air India,15.083333333333334,1.0833333333333333,16.166666666666668,0,None,Coimbatore,Chennai,10,4639
169,169,Vistara,14.416666666666666,5.416666666666667,19.83333333333333,1,Mumbai,Coimbatore,Chennai,10,12682
170,170,Vistara,14.416666666666666,8.666666666666666,23.08333333333333,1,Mumbai,Coimbatore,Chennai,10,12682
171,171,Vistara,15.25,7.5,22.75,1,Delhi,Coimbatore,Chennai,10,16504
172,172,IndiGo,7.0,1.0833333333333333,8.083333333333334,0,None,Coimbatore,Chennai,20,2959
173,173,IndiGo,10.166666666666666,1.0833333333333333,11.25,0,None,Coimbatore,Chennai,20,2959
174,174,IndiGo,11.5,1.0833333333333333,12.583333333333334,0,None,Coimbatore,Chennai,20,2959
175,175,IndiGo,14.25,1.0,15.25,0,None,Coimbatore,Chennai,20,2959
176,176,IndiGo,16.166666666666668,1.0,17.166666666666668,0,None,Coimbatore,Chennai,20,2959
177,177,IndiGo,17.75,1.0833333333333333,18.83333333333333,0,None,Coimbatore,Chennai,20,2959
178,178,IndiGo,20.58333333333333,1.0833333333333333,21.666666666666668,0,None,Coimbatore,Chennai,20,2959
179,179,Air India,15.083333333333334,1.0833333333333333,16.166666666666668,0,None,Coimbatore,Chennai,20,4429
180,180,Vistara,14.416666666666666,5.416666666666667,19.83333333333333,1,Mumbai,Coimbatore,Chennai,20,13459
181,181,Vistara,14.416666666666666,8.666666666666666,23.08333333333333,1,Mumbai,Coimbatore,Chennai,20,13459
182,182,Vistara,15.25,7.5,22.75,1,Delhi,Coimbatore,Chennai,20,17337
183,183,IndiGo,7.0,0.9166666666666666,7.916666666666667,0,None,Coimbatore,Chennai,30,2959
184,184,IndiGo,10.166666666666666,1.0833333333333333,11.25,0,None,Coimbatore,Chennai,30,2959
185,185,IndiGo,11.5,1.0833333333333333,12.583333333333334,0,None,Coimbatore,Chennai,30,2959
186,186,IndiGo,14.25,1.0,15.25,0,None,Coimbatore,Chennai,30,2959
187,187,IndiGo,16.166666666666668,1.0,17.166666666666668,0,None,Coimbatore,Chennai,30,2959
188,188,IndiGo,17.75,1.0833333333333333,18.83333333333333,0,None,Coimbatore,Chennai,30,2959
189,189,IndiGo,20.58333333333333,1.0833333333333333,21.666666666666668,0,None,Coimbatore,Chennai,30,2959
190,190,IndiGo,2.1666666666666665,2.0,4.166666666666667,0,None,Delhi,Mumbai,0,4470
191,191,IndiGo,5.5,2.1666666666666665,7.666666666666667,0,None,Delhi,Mumbai,0,4470
192,192,IndiGo,6.5,2.083333333333333,8.583333333333334,0,None,Delhi,Mumbai,0,4470
193,193,IndiGo,7.333333333333333,2.083333333333333,9.416666666666666,0,None,Delhi,Mumbai,0,4470
194,194,IndiGo,8.0,2.333333333333333,10.333333333333334,0,None,Delhi,Mumbai,0,4470
195,195,IndiGo,8.75,2.25,11.0,0,None,Delhi,Mumbai,0,4470
196,196,IndiGo,10.75,2.083333333333333,12.833333333333334,0,None,Delhi,Mumbai,0,4470
197,197,IndiGo,11.916666666666666,2.0,13.916666666666666,0,None,Delhi,Mumbai,0,4470
198,198,IndiGo,14.166666666666666,2.1666666666666665,16.333333333333332,0,None,Delhi,Mumbai,0,4470
199,199,IndiGo,16.25,2.1666666666666665,18.416666666666668,0,None,Delhi,Mumbai,0,4470
200,200,IndiGo,19.75,2.1666666666666665,21.916666666666668,0,None,Delhi,Mumbai,0,4470
201,201,IndiGo,21.75,2.4166666666666665,0.1666666666666666,0,None,Delhi,Mumbai,0,4470
202,202,IndiGo,23.58333333333333,2.083333333333333,1.6666666666666663,0,None,Delhi,Mumbai,0,4470
203,203,SpiceJet,7.333333333333333,2.25,9.583333333333334,0,None,Delhi,Mumbai,0,4624
204,204,SpiceJet,19.0,2.1666666666666665,21.166666666666668,0,None,Delhi,Mumbai,0,4624
205,205,SpiceJet,19.75,2.25,22.0,0,None,Delhi,Mumbai,0,4624
206,206,SpiceJet,21.666666666666668,2.25,23.916666666666668,0,None,Delhi,Mumbai,0,4624
207,207,Vistara,7.5,2.25,9.75,0,None,Delhi,Mumbai,0,5956
208,208,Vistara,8.833333333333334,2.333333333333333,11.166666666666666,0,None,Delhi,Mumbai,0,5956
209,209,Vistara,9.5,2.083333333333333,11.583333333333334,0,None,Delhi,Mumbai,0,5956
210,210,Vistara,10.333333333333334,2.25,12.583333333333334,0,None,Delhi,Mumbai,0,5956
211,211,Vistara,18.166666666666668,5.083333333333333,23.25,1,Ahmedabad,Delhi,Mumbai,0,6092
212,212,IndiGo,7.333333333333333,4.75,12.083333333333334,1,Jaipur,Delhi,Mumbai,0,7109
213,213,IndiGo,5.75,7.083333333333333,12.833333333333334,1,Bhopal,Delhi,Mumbai,0,7109
214,214,IndiGo,5.25,8.0,13.25,1,Nagpur,Delhi,Mumbai,0,7109
215,215,IndiGo,5.083333333333333,8.25,13.333333333333334,1,Vadodara,Delhi,Mumbai,0,7109
216,216,IndiGo,8.5,7.416666666666667,15.916666666666666,1,Jaipur,Delhi,Mumbai,0,7109
217,217,IndiGo,9.583333333333334,7.333333333333333,16.916666666666668,1,Nagpur,Delhi,Mumbai,0,7109
218,218,AirAsia,12.833333333333334,6.416666666666667,19.25,1,Goa,Delhi,Mumbai,0,7109
219,219,AirAsia,10.666666666666666,8.583333333333334,19.25,1,Goa,Delhi,Mumbai,0,7109
220,220,IndiGo,13.0,8.833333333333334,21.83333333333333,1,Jaipur,Delhi,Mumbai,0,7109
221,221,IndiGo,18.75,5.333333333333333,0.0833333333333333,1,Bhopal,Delhi,Mumbai,0,7109
222,222,IndiGo,15.0,9.083333333333334,0.0833333333333333,1,Bhopal,Delhi,Mumbai,0,7109
223,223,AirAsia,18.75,5.916666666666667,0.6666666666666666,1,Bengaluru,Delhi,Mumbai,0,7109
224,224,Air India,14.5,3.6666666666666665,18.166666666666668,1,Indore,Delhi,Mumbai,0,7110
225,225,Air India,17.916666666666668,4.25,22.166666666666668,1,Aurangabad,Delhi,Mumbai,0,7110
226,226,IndiGo,0.25,5.25,5.5,1,Ahmedabad,Delhi,Mumbai,0,7739
